Make;Model;Manufacturing Year;Fuel Type;Engine Power (HP);Mileage (km);Number of Accidents;Market Value ($);Total Owners;Has Dashcam;Vehicles in Family;Driving Experience;AGE;HOMEKIDS;EMPLOYED;INCOME;MSTATUS;GENDER;TRAVTIME;BLUEBOOK;TIF;CAR_TYPE;RED_CAR;OLDCLAIM;CLM_FREQ;REVOKED;MVR_PTS;CLM_AMT;CAR_AGE;CLAIM_FLAG;Liability Insurance;Theft Insurance;Premium Insurance;Repair Insurance;Premium Repair Insurance
Honda;CR-V;2018;Diesel;248;71788;0;15321;1;FALSE;3;6;42;0;TRUE;59945;TRUE;M;42;$14,190;6;Minivan;no;$0;0;No;0;0;16;0;1072,605;677,21;1005,647;674;1094,605
Honda;Pilot;2009;Diesel;210;210846;1;2000;2;FALSE;3;7;34;3;TRUE;34019;TRUE;F;27;$8,300;7;SUV;no;$0;0;No;0;0;20;0;1280;625;1082;905;1340
Volkswagen;Jetta;2012;Petrol;216;159694;2;2000;4;TRUE;3;2;31;2;TRUE;18903;TRUE;F;48;$17,330;4;Minivan;no;$0;0;No;0;0;7;0;1342;578;1186,8;858;1276
Volkswagen;Tiguan;2008;Diesel;176;226259;1;2000;3;FALSE;3;6;28;1;TRUE;44077;TRUE;F;29;$8,710;6;SUV;no;$8,935;2;No;0;6857;1;1;1112;708;1004,8;688;1026
Ford;F-150;2013;Petrol;278;151882;2;2000;1;TRUE;2;9;43;0;TRUE;37214;TRUE;M;52;$26,560;1;Panel Truck;yes;$0;0;No;3;3627;1;1;1366;709;1186,4;789;1198
Volkswagen;Golf;2000;Petrol;163;340125;1;2000;1;FALSE;1;6;48;0;TRUE;96274;TRUE;F;36;$11,130;6;SUV;no;$8,250;1;No;5;0;14;0;1036;601,5;1044,4;731,5;1083
Tesla;Model S;2003;Electric;446;305662;0;2000;4;FALSE;4;10;47;0;TRUE;46281;FALSE;F;29;$19,700;10;Minivan;no;$0;0;No;1;0;5;0;1402;643;1070,8;673;1086
Honda;Pilot;2009;Diesel;273;207647;0;2000;4;FALSE;3;4;44;2;TRUE;0;TRUE;F;8;$5,900;6;SUV;no;$3,338;3;No;0;0;11;0;1156;556,5;932,4;786,5;1193
Honda;Accord;2013;Petrol;278;148328;0;2000;2;TRUE;2;8;46;0;TRUE;;TRUE;M;7;$25,660;1;Panel Truck;no;$2,119;1;No;2;0;12;0;966;409;836,4;689;1058
BMW;3 Series;2009;Petrol;205;208676;1;2000;1;FALSE;2;3;60;0;TRUE;37940;TRUE;F;16;$11,290;1;Sports Car;no;$0;0;No;0;5247;1;1;1120;722,5;1028;652,5;985
Volkswagen;Tiguan;2013;Diesel;245;143640;1;2000;2;TRUE;3;8;33;1;TRUE;79606;TRUE;F;27;$16,830;9;SUV;no;$0;0;No;2;0;15;0;1150;492,5;1010;822,5;1235
Toyota;Highlander;2021;Hybrid;296;31937;0;23806;1;TRUE;1;1;32;1;TRUE;31275;TRUE;F;26;$10,030;1;SUV;no;$0;0;No;0;4486;1;1;1161,03;736,06;953,442;648;1115,03
Toyota;Corolla;2019;Hybrid;148;64188;0;17581;1;TRUE;3;5;44;2;TRUE;45488;TRUE;M;16;$22,090;17;Minivan;no;$0;0;No;0;0;12;0;883,905;499,81;841,467;724;1145,905
Nissan;Pathfinder;2005;Petrol;235;264651;0;2000;4;FALSE;5;4;35;0;TRUE;72193;FALSE;F;26;$12,220;6;SUV;no;$0;0;No;3;0;12;0;980;537,5;902;667,5;1015
Nissan;Sentra;2016;Diesel;282;101256;0;9374;1;TRUE;5;6;40;2;TRUE;;TRUE;F;15;$14,130;6;SUV;no;$38,127;2;Yes;4;0;12;0;1110,87;484,74;891,218;791;1238,87
Chevrolet;Silverado;2008;Diesel;351;220519;2;2000;3;FALSE;3;7;54;0;TRUE;33212;TRUE;M;27;$24,000;4;Panel Truck;no;$0;0;No;5;4901;0;1;1612;895,5;1344,8;825,5;1271
Nissan;Sentra;2007;Diesel;222;235615;1;2000;4;FALSE;4;12;49;0;TRUE;49244;TRUE;M;30;$15,880;1;Minivan;no;$0;0;No;1;0;1;0;1154;731;1041,6;661;1002
Chevrolet;Silverado;2023;Diesel;267;5928;0;29407;1;TRUE;2;1;36;2;TRUE;130540;FALSE;F;5;$27,200;4;Minivan;no;$0;0;No;0;0;9;0;1181,035;677,57;1019,449;783,5;1324,035
Chevrolet;Tahoe;2017;Diesel;223;89376;0;12062;1;TRUE;4;4;52;0;TRUE;51278;TRUE;F;37;$1,500;4;SUV;no;$0;0;No;1;0;10;0;906,31;482,12;862,834;661,5;1053,31
Honda;Civic;2002;Petrol;218;322950;1;2000;1;FALSE;2;11;41;0;TRUE;92842;FALSE;M;12;$25,810;6;Panel Truck;no;$1,431;2;No;5;0;15;0;1146;629;1088,4;759;1138
Tesla;Model S;2013;Electric;621;146799;1;2000;1;TRUE;1;8;39;0;TRUE;35081;TRUE;M;38;$16,640;4;Van;yes;$0;0;No;0;0;13;0;1852;680,5;1310,8;960,5;1541
Volkswagen;Tiguan;2007;Diesel;113;237729;0;2000;2;FALSE;4;13;56;0;TRUE;0;TRUE;F;65;$13,220;1;Minivan;no;$0;0;No;0;0;12;0;736;476,5;804,4;606,5;893
Ford;Mustang;2016;Hybrid;161;103397;0;9160;1;TRUE;3;6;49;0;TRUE;115044;FALSE;F;18;$17,900;1;Minivan;no;$0;0;No;0;0;14;0;767,8;422,1;792,92;630,5;976,8
BMW;5 Series;2022;Diesel;427;13930;0;45178;1;FALSE;1;1;38;0;TRUE;37754;TRUE;F;47;$12,080;1;SUV;no;$0;0;No;2;0;9;0;1579,89;1065,28;1357,846;763,5;1422,89
Toyota;Highlander;2022;Electric;128;23709;0;26129;1;TRUE;3;2;43;2;TRUE;145353;TRUE;F;38;$29,450;6;Van;no;$0;0;No;0;0;15;0;886,645;575,29;885,303;714;1168,645
Toyota;Camry;2012;Petrol;189;162793;0;2000;1;TRUE;1;11;50;0;TRUE;167469;FALSE;F;22;$34,150;4;Sports Car;no;$0;0;No;3;0;1;0;788;464,5;715,2;544,5;829
Ford;Escape;2013;Petrol;295;150300;1;2000;3;FALSE;4;11;63;0;TRUE;121398;TRUE;F;10;$16,270;1;SUV;no;$0;0;No;0;0;11;0;1300;667,5;1150;797,5;1215
Volkswagen;Tiguan;2018;Hybrid;121;74793;0;15020;1;TRUE;3;3;52;0;TRUE;0;FALSE;F;48;$9,280;1;SUV;no;$0;0;No;1;0;6;0;717,1;460,7;801,94;510,5;826,1
Tesla;Model Y;2011;Electric;439;186462;0;2000;3;TRUE;2;12;35;0;TRUE;14508;TRUE;M;22;$6,450;1;Pickup;no;$0;0;No;0;0;7;0;1288;489,5;965,2;669,5;1079
Honda;Accord;2004;Diesel;133;294104;0;2000;4;FALSE;5;14;43;0;TRUE;75338;TRUE;F;40;$23,080;1;Sports Car;no;$0;0;No;0;0;8;0;776;486,5;820,4;616,5;913
Nissan;Sentra;2000;Petrol;258;353879;1;2000;2;FALSE;3;5;41;0;TRUE;32774;FALSE;F;44;$20,120;4;Minivan;no;$0;0;No;0;0;1;0;1226;749;1070,4;679;1038
Tesla;Model S;2023;Electric;657;5000;0;49166;1;TRUE;4;1;40;0;TRUE;57474;TRUE;M;5;$29,270;4;Panel Truck;yes;$0;0;No;1;0;5;0;1959,83;1070,16;1469,762;778,5;1532,83
BMW;3 Series;2021;Hybrid;459;16196;0;42300;1;TRUE;1;1;31;1;TRUE;26520;TRUE;M;62;$4,600;6;Minivan;yes;$0;0;No;2;0;5;0;1579,5;902,5;1263,3;729,5;1370,5
Volkswagen;Golf;2003;Petrol;221;294835;0;2000;4;FALSE;4;11;47;0;TRUE;18444;TRUE;F;35;$19,450;6;SUV;no;$2,981;2;No;5;0;0;0;952;630,5;840,8;560,5;861
BMW;X5;2014;Diesel;237;130024;1;5829;3;TRUE;1;9;53;0;FALSE;107259;TRUE;M;36;$29,230;10;Minivan;yes;$0;0;No;0;0;15;0;1103,145;526,79;1030,403;768,5;1176,145
Nissan;Rogue;2019;Diesel;296;67489;0;17251;1;FALSE;4;3;39;3;TRUE;34046;TRUE;F;33;$4,040;6;SUV;no;$0;0;No;0;0;5;0;1328,255;720,51;1057,557;748;1222,255
Tesla;Model S;2012;Electric;471;170724;0;2000;4;FALSE;4;6;33;3;TRUE;32364;TRUE;M;40;$12,270;18;Minivan;yes;$0;0;No;3;0;1;0;1602;755,5;1040,8;835,5;1321
Honda;Civic;2017;Diesel;270;93382;0;11661;1;TRUE;5;3;59;0;TRUE;106775;FALSE;M;10;$31,930;1;Minivan;yes;$0;0;No;0;0;0;0;998,305;601,61;847,627;585;958,305
Ford;Explorer;2012;Diesel;259;161011;1;2000;4;TRUE;4;10;42;0;FALSE;52988;TRUE;M;24;$23,450;1;Minivan;no;$0;0;No;2;0;11;0;1128;499,5;1021,2;779,5;1179
BMW;3 Series;2003;Petrol;329;299517;0;2000;2;FALSE;3;1;40;0;TRUE;16989;FALSE;M;20;$12,230;4;Pickup;yes;$26,104;1;Yes;13;6100;6;1;1168;584,5;977,2;614,5;969
Chevrolet;Equinox;2018;Diesel;374;82664;0;14233;1;TRUE;5;5;41;2;TRUE;17755;FALSE;F;29;$14,480;1;Minivan;yes;$0;0;Yes;2;0;1;0;1319,165;679,33;948,831;737;1215,165
BMW;3 Series;2020;Diesel;240;41544;0;35576;1;TRUE;1;2;37;2;TRUE;;FALSE;F;62;$9,360;4;Sports Car;no;$0;0;No;0;6195;0;1;1157,88;825,76;991,032;670;1187,88
Nissan;Rogue;2010;Diesel;185;196319;1;2000;3;FALSE;5;14;36;3;TRUE;56048;TRUE;M;15;$10,700;6;Minivan;no;$2,045;2;No;2;0;16;0;1230;612,5;1062;892,5;1315
Nissan;Rogue;2008;Diesel;142;230328;1;2000;2;FALSE;5;4;44;2;TRUE;16352;TRUE;F;37;$10,520;1;SUV;no;$7,838;1;No;1;8841;1;1;1094;691;977,6;721;1062
Honda;Accord;2004;Petrol;249;283257;0;2000;1;FALSE;5;14;56;0;TRUE;44760;TRUE;M;30;$21,770;13;Minivan;yes;$0;0;No;0;0;6;0;1008;544,5;913,2;574,5;889
Honda;Pilot;2009;Diesel;165;213170;1;2000;1;FALSE;5;12;45;1;TRUE;63952;TRUE;F;50;$32,340;6;Van;no;$27,877;2;Yes;0;2117;13;1;1090;602,5;1046;782,5;1155
Toyota;Corolla;2014;Hybrid;124;133576;0;3142;1;TRUE;1;4;34;3;TRUE;22510;TRUE;M;26;$14,690;4;Minivan;yes;$0;0;Yes;0;1230;1;1;813,71;443,42;671,194;662;979,71
Honda;Accord;2020;Electric;136;49261;0;20573;1;TRUE;1;1;48;0;FALSE;;TRUE;M;14;$28,560;13;Panel Truck;yes;$1,554;5;No;1;0;10;0;774,865;523,73;852,811;618;1008,865
BMW;X3;2005;Diesel;439;277512;3;2000;4;FALSE;2;18;44;2;FALSE;24060;FALSE;M;24;$14,220;4;Minivan;no;$0;0;No;0;3532;10;1;2088;939,5;1665,2;1169,5;1779
BMW;X3;2007;Diesel;363;240729;1;2000;3;FALSE;5;6;33;4;TRUE;20822;TRUE;F;46;$6,880;13;SUV;no;$7,896;3;No;0;866;1;1;1636;801,5;1154,4;931,5;1423
Ford;Escape;2022;Hybrid;217;16044;0;26895;1;FALSE;2;1;32;3;TRUE;54968;TRUE;F;20;$10,040;4;SUV;no;$0;0;Yes;0;0;8;0;1218,475;777,45;1061,865;808,5;1331,475
Chevrolet;Equinox;2018;Hybrid;370;77072;0;14792;1;TRUE;1;6;34;0;TRUE;14194;FALSE;F;13;$2,920;4;Sports Car;no;$24,767;3;Yes;2;7786;10;1;1213,96;582,92;999,544;735;1213,96
Nissan;Altima;2011;Petrol;279;178710;1;2000;2;TRUE;2;7;38;4;TRUE;2149;TRUE;F;35;$22,690;10;Pickup;no;$0;0;No;2;0;1;0;1368;609,5;987,2;889,5;1339
BMW;X3;2019;Diesel;359;59770;0;30038;1;TRUE;3;1;35;2;TRUE;;FALSE;F;43;$9,730;5;SUV;no;$0;0;No;4;5426;4;1;1368,19;829,88;1047,466;729,5;1279,19
Ford;Escape;2015;Diesel;175;122390;0;5760;1;FALSE;2;3;44;2;TRUE;45576;TRUE;F;27;$1,500;4;Sports Car;no;$25,276;1;No;8;0;0;0;978,8;645,1;830,32;637,5;973,8
Nissan;Altima;2003;Diesel;265;309204;0;2000;3;FALSE;4;14;43;3;TRUE;137103;FALSE;F;29;$19,510;1;Sports Car;no;$8,890;3;No;0;4148;15;1;1190;552,5;926;832,5;1255
Toyota;Prius;2001;Hybrid;280;336178;2;2000;2;FALSE;4;10;49;0;TRUE;;FALSE;M;31;$33,710;3;Panel Truck;no;$34,351;2;Yes;2;0;18;0;1470;760;1338;890;1340
Honda;CR-V;2000;Petrol;181;341154;0;2000;1;FALSE;2;9;46;0;TRUE;79538;FALSE;F;13;$14,050;3;Minivan;no;$0;0;Yes;2;0;11;0;872;510,5;858,8;640,5;961
Ford;Explorer;2020;Diesel;436;45553;0;20944;1;TRUE;3;3;45;1;TRUE;185836;TRUE;F;28;$10,250;1;SUV;no;$4,307;3;No;6;0;20;0;1426,72;677,44;1095,408;818;1380,72
Toyota;Highlander;2002;Hybrid;167;312777;1;2000;3;FALSE;1;22;46;0;TRUE;;FALSE;M;22;$33,320;4;Panel Truck;yes;$0;0;Yes;1;0;12;0;1044;603,5;1047,6;733,5;1087
Chevrolet;Malibu;2017;Diesel;204;92059;0;11794;1;TRUE;1;2;45;0;TRUE;61931;TRUE;M;30;$10,910;13;Pickup;yes;$25,106;2;No;0;0;0;0;866,97;569,94;795,758;552;892,97
BMW;5 Series;2011;Diesel;241;180306;0;2000;4;FALSE;1;8;48;0;TRUE;61509;TRUE;M;40;$23,230;6;Panel Truck;yes;$0;0;No;1;0;17;0;992;540,5;906,8;670,5;1021
BMW;3 Series;2023;Diesel;180;5000;0;49166;1;TRUE;3;1;63;0;TRUE;74426;FALSE;F;11;$27,600;1;SUV;no;$0;0;No;0;0;18;0;1005,83;831,66;1088,162;640;1195,83
Chevrolet;Tahoe;2020;Electric;323;38406;0;21659;1;TRUE;3;2;44;0;TRUE;74722;TRUE;F;9;$23,640;6;Minivan;no;$0;0;No;0;0;1;0;1154,295;728,09;960,013;611,5;1061,295
Tesla;Model 3;2011;Electric;973;177107;1;2000;1;TRUE;2;13;45;2;TRUE;102393;FALSE;M;25;$1,500;1;Minivan;yes;$0;0;No;2;2371;11;1;2656;856,5;1592,4;1236,5;2033
Honda;Pilot;2023;Diesel;199;5000;0;29500;1;TRUE;4;1;62;0;TRUE;40656;TRUE;F;57;$9,170;4;Sports Car;no;$42,342;2;Yes;2;4178;7;1;945,5;644,5;965,7;549,5;976,5
BMW;3 Series;2012;Petrol;285;161118;1;2000;4;TRUE;4;7;48;0;TRUE;0;TRUE;F;50;$8,660;3;Sports Car;no;$8,363;2;No;3;0;0;0;1180;612,5;992;692,5;1065
Nissan;Sentra;2023;Diesel;288;5000;0;29500;1;FALSE;2;1;37;2;TRUE;;TRUE;F;43;$5,200;1;SUV;no;$2,718;1;No;1;4804;3;1;1323,5;939;1086,9;694;1205,5
BMW;X3;2004;Petrol;315;284677;1;2000;2;FALSE;3;6;35;0;FALSE;29371;FALSE;F;49;$4,860;10;Sports Car;no;$0;0;No;0;0;1;0;1340;777,5;1116;707,5;1095
BMW;X3;2015;Diesel;345;115918;0;10680;1;TRUE;3;9;48;0;TRUE;31773;TRUE;M;14;$9,640;13;Pickup;no;$1,212;1;No;4;1354;1;1;1143,4;629,3;900,76;622,5;1028,4
Toyota;Prius;2018;Hybrid;249;69950;0;15505;1;FALSE;2;5;39;0;TRUE;33727;FALSE;F;27;$10,850;1;SUV;no;$8,350;1;No;2;0;12;0;1075,525;679,55;1007,735;674,5;1096,525
Volkswagen;Passat;2020;Diesel;285;54408;0;20059;1;FALSE;3;4;49;0;TRUE;0;TRUE;F;42;$6,400;10;SUV;no;$9,115;1;No;6;0;14;0;1170,295;743,09;1068,413;692,5;1155,295
Volkswagen;Passat;2011;Petrol;232;196887;0;2000;2;TRUE;3;10;44;2;TRUE;139330;FALSE;F;35;$22,050;10;Sports Car;no;$0;0;No;0;0;1;0;974;486;749,6;666;1012
Toyota;Corolla;2005;Hybrid;238;278373;1;2000;3;FALSE;5;12;50;0;TRUE;163296;FALSE;F;42;$22,830;1;Minivan;no;$0;0;No;0;0;14;0;1186;639;1104,4;769;1158
BMW;X3;2018;Diesel;352;78962;0;24339;1;FALSE;5;6;30;1;TRUE;17455;FALSE;F;50;$12,380;13;Minivan;no;$0;0;No;0;0;6;0;1375,695;819,39;1151,973;676;1173,695
Tesla;Model Y;2023;Electric;336;5000;0;49166;1;FALSE;5;1;54;0;FALSE;71007;TRUE;M;61;$14,000;6;Minivan;no;$0;0;No;0;0;11;0;1417,83;1059,66;1312,962;718;1351,83
Ford;Explorer;2020;Diesel;385;43118;0;21188;1;TRUE;4;3;38;0;TRUE;0;TRUE;M;41;$17,470;10;Van;no;$3,157;2;No;5;0;6;0;1275,94;654,38;1056,316;642,5;1120,94
Nissan;Altima;2017;Electric;295;91658;0;11834;1;FALSE;5;5;53;0;TRUE;38036;TRUE;F;32;$13,140;1;SUV;no;$0;0;No;4;2425;1;1;1149,17;765,84;968,838;597,5;984,17
Ford;Escape;2021;Diesel;150;34518;0;23548;1;TRUE;4;3;53;0;TRUE;41199;FALSE;F;21;$15,360;1;SUV;no;$0;0;No;0;0;8;0;817,74;560,48;884,836;625;1037,74
Ford;F-150;2002;Diesel;207;315744;1;2000;1;FALSE;1;9;29;1;TRUE;38042;FALSE;M;15;$15,160;6;Minivan;no;$0;0;No;0;0;1;0;1174;723,5;1029,6;703,5;1057
Chevrolet;Silverado;2009;Diesel;180;207015;1;2000;4;FALSE;4;13;58;0;TRUE;91223;FALSE;M;23;$10,620;6;Pickup;no;$0;0;No;0;0;0;0;1070;710;1008;640;960
BMW;3 Series;2013;Petrol;362;152016;2;2000;3;TRUE;1;5;55;0;TRUE;45787;TRUE;F;5;$19,380;6;Minivan;no;$0;0;No;0;0;13;0;1534;651;1303,6;931;1422
Tesla;Model Y;2022;Electric;328;11141;0;45643;1;TRUE;4;1;55;0;FALSE;84964;TRUE;M;21;$5,760;1;Pickup;yes;$969;2;No;6;0;11;0;1284,215;870,43;1181,901;714;1326,215
BMW;X5;2015;Diesel;248;121224;0;9796;1;TRUE;4;1;56;0;TRUE;38240;TRUE;F;28;$16,220;4;SUV;no;$0;0;No;0;0;0;0;944,98;571,96;816,972;574;926,98
Chevrolet;Equinox;2017;Diesel;368;87182;0;12281;1;TRUE;2;2;39;2;TRUE;0;TRUE;F;36;$8,750;4;Sports Car;no;$0;0;No;0;0;8;0;1297,405;556,81;980,367;834;1339,405
Tesla;Model S;2011;Electric;672;175694;2;2000;1;TRUE;2;9;44;2;TRUE;142588;TRUE;M;28;$21,790;6;Minivan;yes;$0;0;No;2;0;9;0;2254;806;1551,6;1186;1872
Chevrolet;Equinox;2018;Electric;203;67766;0;15723;1;FALSE;3;2;34;0;TRUE;51565;FALSE;M;36;$18,110;1;Van;yes;$759;2;No;3;0;15;0;984,615;658,73;972,461;651,5;1051,615
Honda;Civic;2015;Petrol;263;118278;0;6172;1;FALSE;5;2;34;3;TRUE;0;TRUE;F;25;$11,740;9;SUV;no;$1,800;2;No;2;5711;1;1;1206,86;693,22;903,604;731,5;1133,86
Volkswagen;Jetta;2018;Hybrid;231;76685;0;14831;1;TRUE;3;3;36;0;TRUE;105384;TRUE;M;24;$13,800;7;Minivan;yes;$31,695;3;Yes;4;0;17;0;936,155;513,81;888,617;665,5;1075,155
Ford;Explorer;2013;Petrol;205;157762;2;2000;4;FALSE;1;8;41;0;TRUE;66265;TRUE;M;59;$12,230;4;Minivan;yes;$0;0;No;1;13105;9;1;1320;722,5;1278;852,5;1265
BMW;X3;2022;Diesel;330;8885;0;46019;1;TRUE;3;2;46;0;TRUE;;FALSE;M;17;$23,350;13;Panel Truck;yes;$4,678;3;No;6;4061;17;1;1290,095;875,19;1186,133;715;1330,095
Ford;Escape;2017;Diesel;341;90100;0;11989;1;TRUE;2;3;45;0;TRUE;32394;FALSE;F;33;$13,770;4;SUV;no;$0;0;No;0;0;1;0;1141,945;640,39;906,723;620,5;1030,945
Chevrolet;Silverado;2016;Hybrid;243;102558;0;9244;1;TRUE;4;4;42;0;TRUE;76226;TRUE;M;18;$23,390;13;Panel Truck;yes;$0;0;No;0;0;14;0;932,22;463,94;859,108;671,5;1059,22
Chevrolet;Silverado;2015;Diesel;298;124146;0;5585;1;TRUE;2;7;38;3;TRUE;7528;TRUE;M;26;$8,080;1;Pickup;yes;$0;0;No;0;0;8;0;1173,925;454,85;877,495;849;1305,925
BMW;X5;2016;Electric;381;99311;0;15948;1;TRUE;5;5;33;4;TRUE;0;FALSE;M;14;$15,090;1;Minivan;yes;$1,631;1;No;2;7838;5;1;1441,74;599,98;1016,436;840,5;1370,74
Volkswagen;Jetta;2019;Electric;283;66142;0;17385;1;TRUE;2;1;37;0;TRUE;;TRUE;F;48;$12,850;7;SUV;no;$0;0;No;3;3660;6;1;1052,925;565,35;948,095;591,5;999,925
BMW;X5;2008;Diesel;182;219685;0;2000;2;FALSE;1;7;42;1;TRUE;32797;TRUE;F;63;$21,690;1;Minivan;no;$0;0;No;2;0;14;0;924;511;859,6;691;1032
Chevrolet;Silverado;2019;Diesel;381;69712;0;17028;1;TRUE;3;2;47;0;TRUE;44705;TRUE;F;50;$12,840;1;SUV;no;$1,533;2;No;0;5125;10;1;1247,14;610,78;1023,996;740,5;1236,14
Ford;F-150;2005;Diesel;171;265396;0;2000;1;FALSE;4;16;43;1;TRUE;0;TRUE;F;26;$8,350;1;SUV;no;$0;0;No;3;0;7;0;902;505,5;850,8;585,5;881
Ford;F-150;2014;Diesel;274;134060;1;3093;2;TRUE;2;3;52;0;TRUE;68992;FALSE;F;36;$15,120;1;Minivan;no;$0;0;No;3;0;10;0;1163,465;517,93;1040,851;787;1199,465
Volkswagen;Jetta;2021;Diesel;103;31344;0;23865;1;TRUE;2;2;43;0;TRUE;132561;FALSE;M;8;$30,150;16;Panel Truck;no;$12,294;1;No;0;0;1;0;725,325;640,15;799,455;501,5;852,325
Chevrolet;Tahoe;2017;Diesel;181;95866;0;11413;1;TRUE;2;6;64;0;TRUE;31738;TRUE;M;23;$14,620;6;SUV;no;$3,994;2;No;0;5085;1;1;819,065;554,63;774,691;540,5;868,065
Toyota;Prius;2023;Hybrid;181;5000;0;29500;1;TRUE;1;1;66;1;TRUE;96830;TRUE;M;23;$11,180;7;SUV;no;$0;0;No;0;0;16;0;1159,5;635,5;951,3;690,5;1168,5
