Make;Model;Manufacturing Year;Fuel Type;Engine Power (HP);Mileage (km);Number of Accidents;Market Value ($);Total Owners;Has Dashcam;Vehicles in Family;Driving Experience;ID;FIRST_NAME;LAST_NAME;AGE;HOMEKIDS;EMPLOYED;INCOME;MSTATUS;GENDER;TRAVTIME;BLUEBOOK;TIF;CAR_TYPE;RED_CAR;OLDCLAIM;CLM_FREQ;REVOKED;MVR_PTS;CLM_AMT;CAR_AGE;CLAIM_FLAG
Tesla;Model 3;2016;Electric;379;99071;0;15988;1;TRUE;1;6;989828809;;;43;0;TRUE;$52,642;TRUE;F;36;$22,420;7;Minivan;no;$0;0;No;0;$0;1;0
Tesla;Model Y;2019;Electric;326;64367;0;29272;1;TRUE;5;3;376482434;;;55;0;TRUE;$59,162;TRUE;M;25;$17,600;7;Van;yes;$5,028;2;Yes;3;$0;9;0
Chevrolet;Malibu;2021;Diesel;420;33598;0;23640;1;TRUE;2;2;665591504;;;53;0;TRUE;$130,795;FALSE;M;64;$28,340;6;Panel Truck;yes;$0;0;No;3;$1,267;10;1
Honda;Accord;2021;Electric;203;34790;0;23521;1;TRUE;2;3;713692930;;;35;2;FALSE;$21,204;FALSE;M;74;$9,230;6;Pickup;no;$0;0;Yes;0;$0;4;0
Honda;Civic;2001;Diesel;161;324696;2;2000;4;FALSE;4;6;588888550;;;45;0;TRUE;$0;TRUE;F;48;$6,000;1;SUV;no;$0;0;No;3;$2,920;5;1
BMW;X5;2010;Petrol;468;192897;1;2000;2;FALSE;4;6;140015922;;;39;3;TRUE;$51,884;FALSE;F;43;$10,590;6;SUV;no;$0;0;No;0;$0;13;0
Ford;Escape;2023;Hybrid;355;5000;0;29500;1;TRUE;5;1;162166370;;;59;0;TRUE;$87,460;FALSE;M;45;$15,420;1;Minivan;yes;$44,857;2;No;4;$4,111;1;1
Honda;CR-V;2018;Diesel;248;71788;0;15321;1;FALSE;3;6;884513944;;;42;0;TRUE;$59,945;TRUE;M;42;$14,190;6;Minivan;no;$0;0;No;0;$0;16;0
Honda;Pilot;2009;Diesel;210;210846;1;2000;2;FALSE;3;7;627708979;;;34;3;TRUE;$34,019;TRUE;F;27;$8,300;7;SUV;no;$0;0;No;0;$0;20;0
Volkswagen;Jetta;2012;Petrol;216;159694;2;2000;4;TRUE;3;2;116375554;;;31;2;TRUE;$18,903;TRUE;F;48;$17,330;4;Minivan;no;$0;0;No;0;$0;7;0
Volkswagen;Tiguan;2008;Diesel;176;226259;1;2000;3;FALSE;3;6;235358484;;;28;1;TRUE;$44,077;TRUE;F;29;$8,710;6;SUV;no;$8,935;2;No;0;$6,857;1;1
Ford;F-150;2013;Petrol;278;151882;2;2000;1;TRUE;2;9;528040687;;;43;0;TRUE;$37,214;TRUE;M;52;$26,560;1;Panel Truck;yes;$0;0;No;3;$3,627;1;1
Volkswagen;Golf;2000;Petrol;163;340125;1;2000;1;FALSE;1;6;652572577;;;48;0;TRUE;$96,274;TRUE;F;36;$11,130;6;SUV;no;$8,250;1;No;5;$0;14;0
Tesla;Model S;2003;Electric;446;305662;0;2000;4;FALSE;4;10;410873772;;;47;0;TRUE;$46,281;FALSE;F;29;$19,700;10;Minivan;no;$0;0;No;1;$0;5;0
Honda;Pilot;2009;Diesel;273;207647;0;2000;4;FALSE;3;4;254362485;;;44;2;TRUE;$0;TRUE;F;8;$5,900;6;SUV;no;$3,338;3;No;0;$0;11;0
Honda;Accord;2013;Petrol;278;148328;0;2000;2;TRUE;2;8;69165559;;;46;0;TRUE;;TRUE;M;7;$25,660;1;Panel Truck;no;$2,119;1;No;2;$0;12;0
BMW;3 Series;2009;Petrol;205;208676;1;2000;1;FALSE;2;3;201327208;;;60;0;TRUE;$37,940;TRUE;F;16;$11,290;1;Sports Car;no;$0;0;No;0;$5,247;1;1
Volkswagen;Tiguan;2013;Diesel;245;143640;1;2000;2;TRUE;3;8;573751437;;;33;1;TRUE;$79,606;TRUE;F;27;$16,830;9;SUV;no;$0;0;No;2;$0;15;0
Toyota;Highlander;2021;Hybrid;296;31937;0;23806;1;TRUE;1;1;483050926;;;32;1;TRUE;$31,275;TRUE;F;26;$10,030;1;SUV;no;$0;0;No;0;$4,486;1;1
Toyota;Corolla;2019;Hybrid;148;64188;0;17581;1;TRUE;3;5;146989842;;;44;2;TRUE;$45,488;TRUE;M;16;$22,090;17;Minivan;no;$0;0;No;0;$0;12;0
Nissan;Pathfinder;2005;Petrol;235;264651;0;2000;4;FALSE;5;4;742435591;;;35;0;TRUE;$72,193;FALSE;F;26;$12,220;6;SUV;no;$0;0;No;3;$0;12;0
Nissan;Sentra;2016;Diesel;282;101256;0;9374;1;TRUE;5;6;915517588;;;40;2;TRUE;;TRUE;F;15;$14,130;6;SUV;no;$38,127;2;Yes;4;$0;12;0
Chevrolet;Silverado;2008;Diesel;351;220519;2;2000;3;FALSE;3;7;756785495;;;54;0;TRUE;$33,212;TRUE;M;27;$24,000;4;Panel Truck;no;$0;0;No;5;$4,901;;1
Nissan;Sentra;2007;Diesel;222;235615;1;2000;4;FALSE;4;12;66662029;;;49;0;TRUE;$49,244;TRUE;M;30;$15,880;1;Minivan;no;$0;0;No;1;$0;1;0
Chevrolet;Silverado;2023;Diesel;267;5928;0;29407;1;TRUE;2;1;294816298;;;36;2;TRUE;$130,540;FALSE;F;5;$27,200;4;Minivan;no;$0;0;No;0;$0;9;0
Chevrolet;Tahoe;2017;Diesel;223;89376;0;12062;1;TRUE;4;4;686791659;;;52;0;TRUE;$51,278;TRUE;F;37;$1,500;4;SUV;no;$0;0;No;1;$0;10;0
Honda;Civic;2002;Petrol;218;322950;1;2000;1;FALSE;2;11;269341556;;;41;0;TRUE;$92,842;FALSE;M;12;$25,810;6;Panel Truck;no;$1,431;2;No;5;$0;15;0
Tesla;Model S;2013;Electric;621;146799;1;2000;1;TRUE;1;8;396972296;;;39;0;TRUE;$35,081;TRUE;M;38;$16,640;4;Van;yes;$0;0;No;0;$0;13;0
Volkswagen;Tiguan;2007;Diesel;113;237729;0;2000;2;FALSE;4;13;364483168;;;56;0;TRUE;$0;TRUE;F;65;$13,220;1;Minivan;no;$0;0;No;0;$0;12;0
Ford;Mustang;2016;Hybrid;161;103397;0;9160;1;TRUE;3;6;866093378;;;49;0;TRUE;$115,044;FALSE;F;18;$17,900;1;Minivan;no;$0;0;No;0;$0;14;0
BMW;5 Series;2022;Diesel;427;13930;0;45178;1;FALSE;1;1;515421877;;;38;0;TRUE;$37,754;TRUE;F;47;$12,080;1;SUV;no;$0;0;No;2;$0;9;0
Toyota;Highlander;2022;Electric;128;23709;0;26129;1;TRUE;3;2;173737852;;;43;2;TRUE;$145,353;TRUE;F;38;$29,450;6;Van;no;$0;0;No;0;$0;15;0
Toyota;Camry;2012;Petrol;189;162793;0;2000;1;TRUE;1;11;745183922;;;50;0;TRUE;$167,469;FALSE;F;22;$34,150;4;Sports Car;no;$0;0;No;3;$0;1;0
Ford;Escape;2013;Petrol;295;150300;1;2000;3;FALSE;4;11;298271736;;;63;0;TRUE;$121,398;TRUE;F;10;$16,270;1;SUV;no;$0;0;No;0;$0;11;0
Volkswagen;Tiguan;2018;Hybrid;121;74793;0;15020;1;TRUE;3;3;70821537;;;52;0;TRUE;$0;FALSE;F;48;$9,280;1;SUV;no;$0;0;No;1;$0;6;0
Tesla;Model Y;2011;Electric;439;186462;0;2000;3;TRUE;2;12;258951025;;;35;0;TRUE;$14,508;TRUE;M;22;$6,450;1;Pickup;no;$0;0;No;0;$0;7;0
Honda;Accord;2004;Diesel;133;294104;0;2000;4;FALSE;5;14;807174588;;;43;0;TRUE;$75,338;TRUE;F;40;$23,080;1;Sports Car;no;$0;0;No;0;$0;8;0
Nissan;Sentra;2000;Petrol;258;353879;1;2000;2;FALSE;3;5;514538041;;;41;0;TRUE;$32,774;FALSE;F;44;$20,120;4;Minivan;no;$0;0;No;0;$0;1;0
Tesla;Model S;2023;Electric;657;5000;0;49166;1;TRUE;4;1;25561360;;;40;0;TRUE;$57,474;TRUE;M;5;$29,270;4;Panel Truck;yes;$0;0;No;1;$0;5;0
BMW;3 Series;2021;Hybrid;459;16196;0;42300;1;TRUE;1;1;753037176;;;31;1;TRUE;$26,520;TRUE;M;62;$4,600;6;Minivan;yes;$0;0;No;2;$0;5;0
Volkswagen;Golf;2003;Petrol;221;294835;0;2000;4;FALSE;4;11;883748009;;;47;0;TRUE;$18,444;TRUE;F;35;$19,450;6;SUV;no;$2,981;2;No;5;$0;;0
BMW;X5;2014;Diesel;237;130024;1;5829;3;TRUE;1;9;31827166;;;53;0;FALSE;$107,259;TRUE;M;36;$29,230;10;Minivan;yes;$0;0;No;0;$0;15;0
Nissan;Rogue;2019;Diesel;296;67489;0;17251;1;FALSE;4;3;680782638;;;39;3;TRUE;$34,046;TRUE;F;33;$4,040;6;SUV;no;$0;0;No;0;$0;5;0
Tesla;Model S;2012;Electric;471;170724;0;2000;4;FALSE;4;6;883604551;;;33;3;TRUE;$32,364;TRUE;M;40;$12,270;18;Minivan;yes;$0;0;No;3;$0;1;0
Honda;Civic;2017;Diesel;270;93382;0;11661;1;TRUE;5;3;714473703;;;59;0;TRUE;$106,775;FALSE;M;10;$31,930;1;Minivan;yes;$0;0;No;0;$0;;0
Ford;Explorer;2012;Diesel;259;161011;1;2000;4;TRUE;4;10;213057541;;;42;0;FALSE;$52,988;TRUE;M;24;$23,450;1;Minivan;no;$0;0;No;2;$0;11;0
BMW;3 Series;2003;Petrol;329;299517;0;2000;2;FALSE;3;1;885280620;;;40;0;TRUE;$16,989;FALSE;M;20;$12,230;4;Pickup;yes;$26,104;1;Yes;13;$6,100;6;1
Chevrolet;Equinox;2018;Diesel;374;82664;0;14233;1;TRUE;5;5;931739722;;;41;2;TRUE;$17,755;FALSE;F;29;$14,480;1;Minivan;yes;$0;0;Yes;2;$0;1;0
BMW;3 Series;2020;Diesel;240;41544;0;35576;1;TRUE;1;2;939401184;;;37;2;TRUE;;FALSE;F;62;$9,360;4;Sports Car;no;$0;0;No;0;$6,195;;1
Nissan;Rogue;2010;Diesel;185;196319;1;2000;3;FALSE;5;14;840809480;;;36;3;TRUE;$56,048;TRUE;M;15;$10,700;6;Minivan;no;$2,045;2;No;2;$0;16;0
Nissan;Rogue;2008;Diesel;142;230328;1;2000;2;FALSE;5;4;800426023;;;44;2;TRUE;$16,352;TRUE;F;37;$10,520;1;SUV;no;$7,838;1;No;1;$8,841;1;1
Honda;Accord;2004;Petrol;249;283257;0;2000;1;FALSE;5;14;14827139;;;56;0;TRUE;$44,760;TRUE;M;30;$21,770;13;Minivan;yes;$0;0;No;0;$0;6;0
Honda;Pilot;2009;Diesel;165;213170;1;2000;1;FALSE;5;12;212687745;;;45;1;TRUE;$63,952;TRUE;F;50;$32,340;6;Van;no;$27,877;2;Yes;0;$2,117;13;1
Toyota;Corolla;2014;Hybrid;124;133576;0;3142;1;TRUE;1;4;224701093;;;34;3;TRUE;$22,510;TRUE;M;26;$14,690;4;Minivan;yes;$0;0;Yes;0;$1,230;1;1
Honda;Accord;2020;Electric;136;49261;0;20573;1;TRUE;1;1;401200262;;;48;0;FALSE;;TRUE;M;14;$28,560;13;Panel Truck;yes;$1,554;5;No;1;$0;10;0
BMW;X3;2005;Diesel;439;277512;3;2000;4;FALSE;2;18;926073051;;;44;2;FALSE;$24,060;FALSE;M;24;$14,220;4;Minivan;no;$0;0;No;0;$3,532;10;1
BMW;X3;2007;Diesel;363;240729;1;2000;3;FALSE;5;6;45830738;;;33;4;TRUE;$20,822;TRUE;F;46;$6,880;13;SUV;no;$7,896;3;No;0;$866;1;1
Ford;Escape;2022;Hybrid;217;16044;0;26895;1;FALSE;2;1;997497927;;;32;3;TRUE;$54,968;TRUE;F;20;$10,040;4;SUV;no;$0;0;Yes;0;$0;8;0
Chevrolet;Equinox;2018;Hybrid;370;77072;0;14792;1;TRUE;1;6;862203239;;;34;0;TRUE;$14,194;FALSE;F;13;$2,920;4;Sports Car;no;$24,767;3;Yes;2;$7,786;10;1
Nissan;Altima;2011;Petrol;279;178710;1;2000;2;TRUE;2;7;116102677;;;38;4;TRUE;$2,149;TRUE;F;35;$22,690;10;Pickup;no;$0;0;No;2;$0;1;0
BMW;X3;2019;Diesel;359;59770;0;30038;1;TRUE;3;1;635101571;;;35;2;TRUE;;FALSE;F;43;$9,730;5;SUV;no;$0;0;No;4;$5,426;4;1
Ford;Escape;2015;Diesel;175;122390;0;5760;1;FALSE;2;3;793404097;;;44;2;TRUE;$45,576;TRUE;F;27;$1,500;4;Sports Car;no;$25,276;1;No;8;$0;;0
Nissan;Altima;2003;Diesel;265;309204;0;2000;3;FALSE;4;14;62434528;;;43;3;TRUE;$137,103;FALSE;F;29;$19,510;1;Sports Car;no;$8,890;3;No;0;$4,148;15;1
Toyota;Prius;2001;Hybrid;280;336178;2;2000;2;FALSE;4;10;935079846;;;49;0;TRUE;;FALSE;M;31;$33,710;3;Panel Truck;no;$34,351;2;Yes;2;$0;18;0
Honda;CR-V;2000;Petrol;181;341154;0;2000;1;FALSE;2;9;948288985;;;46;0;TRUE;$79,538;FALSE;F;13;$14,050;3;Minivan;no;$0;0;Yes;2;$0;11;0
Ford;Explorer;2020;Diesel;436;45553;0;20944;1;TRUE;3;3;396323054;;;45;1;TRUE;$185,836;TRUE;F;28;$10,250;1;SUV;no;$4,307;3;No;6;$0;20;0
Toyota;Highlander;2002;Hybrid;167;312777;1;2000;3;FALSE;1;22;299024508;;;46;0;TRUE;;FALSE;M;22;$33,320;4;Panel Truck;yes;$0;0;Yes;1;$0;12;0
Chevrolet;Malibu;2017;Diesel;204;92059;0;11794;1;TRUE;1;2;39392545;;;45;0;TRUE;$61,931;TRUE;M;30;$10,910;13;Pickup;yes;$25,106;2;No;0;$0;;0
BMW;5 Series;2011;Diesel;241;180306;0;2000;4;FALSE;1;8;536604822;;;48;0;TRUE;$61,509;TRUE;M;40;$23,230;6;Panel Truck;yes;$0;0;No;1;$0;17;0
BMW;3 Series;2023;Diesel;180;5000;0;49166;1;TRUE;3;1;429992959;;;63;0;TRUE;$74,426;FALSE;F;11;$27,600;1;SUV;no;$0;0;No;0;$0;18;0
Chevrolet;Tahoe;2020;Electric;323;38406;0;21659;1;TRUE;3;2;160577728;;;44;0;TRUE;$74,722;TRUE;F;9;$23,640;6;Minivan;no;$0;0;No;0;$0;1;0
Tesla;Model 3;2011;Electric;973;177107;1;2000;1;TRUE;2;13;108385737;;;45;2;TRUE;$102,393;FALSE;M;25;$1,500;1;Minivan;yes;$0;0;No;2;$2,371;11;1
Honda;Pilot;2023;Diesel;199;5000;0;29500;1;TRUE;4;1;414142186;;;62;0;TRUE;$40,656;TRUE;F;57;$9,170;4;Sports Car;no;$42,342;2;Yes;2;$4,178;7;1
BMW;3 Series;2012;Petrol;285;161118;1;2000;4;TRUE;4;7;421217157;;;48;0;TRUE;$0;TRUE;F;50;$8,660;3;Sports Car;no;$8,363;2;No;3;$0;;0
Nissan;Sentra;2023;Diesel;288;5000;0;29500;1;FALSE;2;1;935010485;;;37;2;TRUE;;TRUE;F;43;$5,200;1;SUV;no;$2,718;1;No;1;$4,804;3;1
BMW;X3;2004;Petrol;315;284677;1;2000;2;FALSE;3;6;537840281;;;35;0;FALSE;$29,371;FALSE;F;49;$4,860;10;Sports Car;no;$0;0;No;0;$0;1;0
BMW;X3;2015;Diesel;345;115918;0;10680;1;TRUE;3;9;748139140;;;48;0;TRUE;$31,773;TRUE;M;14;$9,640;13;Pickup;no;$1,212;1;No;4;$1,354;1;1
Toyota;Prius;2018;Hybrid;249;69950;0;15505;1;FALSE;2;5;601118153;;;39;0;TRUE;$33,727;FALSE;F;27;$10,850;1;SUV;no;$8,350;1;No;2;$0;12;0
Volkswagen;Passat;2020;Diesel;285;54408;0;20059;1;FALSE;3;4;808304017;;;49;0;TRUE;$0;TRUE;F;42;$6,400;10;SUV;no;$9,115;1;No;6;$0;14;0
Volkswagen;Passat;2011;Petrol;232;196887;0;2000;2;TRUE;3;10;803325269;;;44;2;TRUE;$139,330;FALSE;F;35;$22,050;10;Sports Car;no;$0;0;No;0;$0;1;0
Toyota;Corolla;2005;Hybrid;238;278373;1;2000;3;FALSE;5;12;701235200;;;50;0;TRUE;$163,296;FALSE;F;42;$22,830;1;Minivan;no;$0;0;No;0;$0;14;0
BMW;X3;2018;Diesel;352;78962;0;24339;1;FALSE;5;6;916609661;;;30;1;TRUE;$17,455;FALSE;F;50;$12,380;13;Minivan;no;$0;0;No;0;$0;6;0
Tesla;Model Y;2023;Electric;336;5000;0;49166;1;FALSE;5;1;469714824;;;54;0;FALSE;$71,007;TRUE;M;61;$14,000;6;Minivan;no;$0;0;No;0;$0;11;0
Ford;Explorer;2020;Diesel;385;43118;0;21188;1;TRUE;4;3;46606719;;;38;0;TRUE;$0;TRUE;M;41;$17,470;10;Van;no;$3,157;2;No;5;$0;6;0
Nissan;Altima;2017;Electric;295;91658;0;11834;1;FALSE;5;5;454040458;;;53;0;TRUE;$38,036;TRUE;F;32;$13,140;1;SUV;no;$0;0;No;4;$2,425;1;1
Ford;Escape;2021;Diesel;150;34518;0;23548;1;TRUE;4;3;951246359;;;53;0;TRUE;$41,199;FALSE;F;21;$15,360;1;SUV;no;$0;0;No;0;$0;8;0
Ford;F-150;2002;Diesel;207;315744;1;2000;1;FALSE;1;9;389315422;;;29;1;TRUE;$38,042;FALSE;M;15;$15,160;6;Minivan;no;$0;0;No;0;$0;1;0
Chevrolet;Silverado;2009;Diesel;180;207015;1;2000;4;FALSE;4;13;180660768;;;58;0;TRUE;$91,223;FALSE;M;23;$10,620;6;Pickup;no;$0;0;No;0;$0;;0
BMW;3 Series;2013;Petrol;362;152016;2;2000;3;TRUE;1;5;184578161;;;55;0;TRUE;$45,787;TRUE;F;5;$19,380;6;Minivan;no;$0;0;No;0;$0;13;0
Tesla;Model Y;2022;Electric;328;11141;0;45643;1;TRUE;4;1;59798468;;;55;0;FALSE;$84,964;TRUE;M;21;$5,760;1;Pickup;yes;$969;2;No;6;$0;11;0
BMW;X5;2015;Diesel;248;121224;0;9796;1;TRUE;4;1;957817015;;;56;0;TRUE;$38,240;TRUE;F;28;$16,220;4;SUV;no;$0;0;No;0;$0;;0
Chevrolet;Equinox;2017;Diesel;368;87182;0;12281;1;TRUE;2;2;402443529;;;39;2;TRUE;$0;TRUE;F;36;$8,750;4;Sports Car;no;$0;0;No;0;$0;8;0
Tesla;Model S;2011;Electric;672;175694;2;2000;1;TRUE;2;9;298667574;;;44;2;TRUE;$142,588;TRUE;M;28;$21,790;6;Minivan;yes;$0;0;No;2;$0;9;0
Chevrolet;Equinox;2018;Electric;203;67766;0;15723;1;FALSE;3;2;303462460;;;34;0;TRUE;$51,565;FALSE;M;36;$18,110;1;Van;yes;$759;2;No;3;$0;15;0
Honda;Civic;2015;Petrol;263;118278;0;6172;1;FALSE;5;2;629946797;;;34;3;TRUE;$0;TRUE;F;25;$11,740;9;SUV;no;$1,800;2;No;2;$5,711;1;1
Volkswagen;Jetta;2018;Hybrid;231;76685;0;14831;1;TRUE;3;3;783473090;;;36;0;TRUE;$105,384;TRUE;M;24;$13,800;7;Minivan;yes;$31,695;3;Yes;4;$0;17;0
Ford;Explorer;2013;Petrol;205;157762;2;2000;4;FALSE;1;8;8565171;;;41;0;TRUE;$66,265;TRUE;M;59;$12,230;4;Minivan;yes;$0;0;No;1;$13,105;9;1
BMW;X3;2022;Diesel;330;8885;0;46019;1;TRUE;3;2;950995873;;;46;0;TRUE;;FALSE;M;17;$23,350;13;Panel Truck;yes;$4,678;3;No;6;$4,061;17;1
Ford;Escape;2017;Diesel;341;90100;0;11989;1;TRUE;2;3;867703916;;;45;0;TRUE;$32,394;FALSE;F;33;$13,770;4;SUV;no;$0;0;No;0;$0;1;0
Chevrolet;Silverado;2016;Hybrid;243;102558;0;9244;1;TRUE;4;4;593582812;;;42;0;TRUE;$76,226;TRUE;M;18;$23,390;13;Panel Truck;yes;$0;0;No;0;$0;14;0
Chevrolet;Silverado;2015;Diesel;298;124146;0;5585;1;TRUE;2;7;22340563;;;38;3;TRUE;$7,528;TRUE;M;26;$8,080;1;Pickup;yes;$0;0;No;0;$0;8;0
BMW;X5;2016;Electric;381;99311;0;15948;1;TRUE;5;5;679555193;;;33;4;TRUE;$0;FALSE;M;14;$15,090;1;Minivan;yes;$1,631;1;No;2;$7,838;5;1
Volkswagen;Jetta;2019;Electric;283;66142;0;17385;1;TRUE;2;1;161607403;;;37;0;TRUE;;TRUE;F;48;$12,850;7;SUV;no;$0;0;No;3;$3,660;6;1
BMW;X5;2008;Diesel;182;219685;0;2000;2;FALSE;1;7;700623278;;;42;1;TRUE;$32,797;TRUE;F;63;$21,690;1;Minivan;no;$0;0;No;2;$0;14;0
Chevrolet;Silverado;2019;Diesel;381;69712;0;17028;1;TRUE;3;2;755810990;;;47;0;TRUE;$44,705;TRUE;F;50;$12,840;1;SUV;no;$1,533;2;No;0;$5,125;10;1
Ford;F-150;2005;Diesel;171;265396;0;2000;1;FALSE;4;16;464090162;;;43;1;TRUE;$0;TRUE;F;26;$8,350;1;SUV;no;$0;0;No;3;$0;7;0
Ford;F-150;2014;Diesel;274;134060;1;3093;2;TRUE;2;3;170483243;;;52;0;TRUE;$68,992;FALSE;F;36;$15,120;1;Minivan;no;$0;0;No;3;$0;10;0
Volkswagen;Jetta;2021;Diesel;103;31344;0;23865;1;TRUE;2;2;421316364;;;43;0;TRUE;$132,561;FALSE;M;8;$30,150;16;Panel Truck;no;$12,294;1;No;0;$0;1;0
Chevrolet;Tahoe;2017;Diesel;181;95866;0;11413;1;TRUE;2;6;505563410;;;64;0;TRUE;$31,738;TRUE;M;23;$14,620;6;SUV;no;$3,994;2;No;0;$5,085;1;1
Toyota;Prius;2023;Hybrid;181;5000;0;29500;1;TRUE;1;1;813759954;;;66;1;TRUE;$96,830;TRUE;M;23;$11,180;7;SUV;no;$0;0;No;0;$0;16;0
Volkswagen;Jetta;2021;Electric;152;38999;0;23100;1;FALSE;2;3;37074844;;;60;0;TRUE;$125,893;FALSE;M;21;$7,500;9;Pickup;yes;$7,278;2;No;4;$0;15;0
Chevrolet;Silverado;2017;Hybrid;178;86299;0;12370;1;TRUE;1;5;130470336;;;35;4;TRUE;$154,577;FALSE;F;27;$20,450;6;SUV;no;$4,645;1;No;3;$0;1;0
Ford;Mustang;2012;Petrol;418;166765;1;2000;3;TRUE;4;6;637739719;;;52;0;TRUE;$64,014;TRUE;M;33;$7,900;4;Pickup;yes;$8,882;3;No;1;$2,143;5;1
Toyota;Camry;2015;Petrol;180;118707;0;6129;1;FALSE;4;2;427956603;;;52;0;TRUE;$79,348;TRUE;F;23;$13,150;11;SUV;no;$0;0;No;2;$0;1;0
Tesla;Model X;2004;Electric;447;291119;1;2000;2;FALSE;1;19;993272296;;;56;2;TRUE;$192,089;TRUE;M;31;$21,100;1;Van;yes;$0;0;No;0;$6,484;;1
Toyota;Highlander;2000;Petrol;135;342589;0;2000;1;FALSE;5;3;880941719;;;38;1;TRUE;;TRUE;F;40;$7,050;4;Sports Car;no;$0;0;No;0;$0;10;0
Honda;Accord;2010;Petrol;162;192741;1;2000;4;FALSE;1;10;765577228;;;55;0;TRUE;$108,152;TRUE;F;18;$12,320;1;SUV;no;$0;0;Yes;0;$0;15;0
Tesla;Model X;2008;Electric;858;229768;1;2000;1;FALSE;2;10;879477038;;;47;0;TRUE;;TRUE;M;48;$21,320;1;Van;yes;$0;0;No;0;$0;13;0
Tesla;Model X;2020;Electric;906;48642;0;34392;1;TRUE;5;2;718294261;;;37;0;TRUE;$123,520;TRUE;M;14;$17,550;1;Van;no;$0;0;No;0;$0;;0
Honda;Civic;2001;Diesel;272;347287;0;2000;4;FALSE;3;5;538875785;;;47;0;TRUE;$45,257;TRUE;M;33;$29,210;6;Panel Truck;yes;$0;0;No;0;$0;;0
Tesla;Model X;2015;Electric;461;116161;0;10639;1;FALSE;2;8;106556153;;;26;0;TRUE;$53,244;FALSE;M;28;$20,920;3;Van;yes;$6,224;1;No;1;$4,028;8;1
Honda;Pilot;2022;Hybrid;249;10586;0;27441;1;TRUE;3;2;199037688;;;61;2;TRUE;$41,857;TRUE;F;35;$20,870;1;Sports Car;no;$0;0;No;0;$0;21;0
Chevrolet;Malibu;2003;Diesel;298;301920;1;2000;2;FALSE;2;2;602893924;;;41;1;TRUE;$126,468;FALSE;F;34;$32,690;3;Pickup;no;$0;0;No;2;$2,114;18;1
